name,team,minutes_any,minutes_60,goals,assists,id_2026
Elijah Dixon-Bonner,QPR,3,0,0,0,NA
Lewis Dobbin,Norwich City,10,8,2,0,57
Lewis Dobbin,West Brom,17,1,0,0,57
Tyrhys Dolan,Blackburn,44,40,7,6,NA
Alfie Doughty,Luton Town,26,25,1,4,NA
Mamadou Doumbia,Watford,19,12,2,0,NA
Oliver Dovin,Coventry City,28,28,0,0,NA
Callum Doyle,Norwich City,40,38,1,7,NA
Andre Dozzell,Portsmouth,39,32,2,1,NA
Cody Drameh,Hull City,28,17,1,1,NA
Shane Duffy,Norwich City,45,45,4,0,NA
Jimmy Dunne,QPR,45,45,5,2,NA
Leonard Duru,Blackburn,1,0,0,0,NA
Pierre Dwomoh,Watford,9,6,0,0,NA
Lyndon Dykes,QPR,1,0,1,0,NA
George Earthy,Bristol City,37,11,3,1,620
Malcolm Ebiowei,Oxford United,4,0,0,0,277
Festy Ebosele,Watford,18,7,1,1,NA
Josh Eccles,Coventry City,39,25,3,3,NA
George Edmundson,Middlesbrough,24,24,1,0,NA
Joe Edwards,Plymouth Argyle,17,12,1,1,NA
Kyle Edwards,Oxford United,7,1,0,1,NA
Marcus Edwards,Burnley,14,12,1,1,206
Ronnie Edwards,QPR,21,20,2,0,NA
John Egan,Burnley,7,1,0,0,NA
John Egan,Hull City,11,8,0,0,NA
CJ Egan-Riley,Burnley,41,40,1,1,NA
Callum Elder,Derby County,29,24,0,3,NA
Aidomo Emakhu,Millwall,25,6,0,2,NA
Lukas Engel,Middlesbrough,9,4,0,0,NA
Niall Ennis,Stoke City,9,1,0,0,NA
Romain Esse,Millwall,24,24,4,1,269
Maxime Estève,Burnley,46,46,1,0,191
Oscar Estupiñan,Hull City,2,2,1,0,NA
Ched Evans,Preston,8,0,0,2,NA
George Evans,Millwall,4,4,0,0,NA
Milan van Ewijk,Coventry City,45,45,2,2,NA
Malachi Fagan-Walcott,Cardiff City,1,0,0,0,NA
Akin Famewo,Sheffield Weds,13,11,0,1,NA
Lamine Fanne,Luton Town,12,6,0,0,NA
Jacob Farrell,Portsmouth,1,1,0,0,NA
Christian Fassnacht,Norwich City,3,1,0,0,NA
Tom Fellows,West Brom,45,35,4,14,NA
Marselino Ferdinan,Oxford United,1,0,0,0,NA
Sam Field,QPR,35,35,3,0,NA
Tegan Finn,Plymouth Argyle,4,1,0,0,NA
Junior Firpo,Leeds United,32,30,4,10,NA
Will Fish,Cardiff City,21,14,0,0,NA
Kellen Fisher,Norwich City,38,34,0,4,NA
Zian Flemming,Burnley,35,28,12,4,215
Tyrese Fornah,Derby County,1,0,0,0,NA
Adam Forshaw,Plymouth Argyle,16,7,0,0,NA
Adam Forshaw,Blackburn,16,5,1,0,NA
Amankwah Forson,Norwich City,21,8,2,2,NA
Marcus Forss,Middlesbrough,24,6,1,0,NA
Craig Forsyth,Derby County,39,26,3,4,NA
Gabriel Forsyth,Norwich City,5,2,0,0,NA
Lyle Foster,Burnley,28,17,2,5,217
Morgan Fox,QPR,26,12,1,0,NA
Gianluca Frabotta,West Brom,6,0,0,0,NA
Gonçalo Franco,Swansea City,40,39,2,2,NA
Michael Frey,QPR,29,21,8,1,NA
Dael Fry,Middlesbrough,21,15,0,0,NA
Mads Frøkjær-Jensen,Preston,38,27,2,5,NA
Leo Fuhr Hjelde,Sunderland,15,5,0,1,536
Jay Fulton,Swansea City,31,13,1,0,NA
Darnell Furlong,West Brom,42,42,1,3,NA
Sam Gallagher,Stoke City,22,9,3,1,NA
Brendan Galloway,Plymouth Argyle,13,11,0,0,NA
Ben Gannon-Doak,Middlesbrough,24,21,3,7,391
Djeidi Gassama,Sheffield Weds,43,36,7,1,NA
Joe Gelhardt,Leeds United,2,0,0,0,360
Joe Gelhardt,Hull City,20,19,5,0,360
Anwar El Ghazi,Cardiff City,25,14,3,1,NA
Liam Gibbs,Norwich City,9,1,0,0,NA
Ben Gibson,Stoke City,24,22,3,0,NA
Lewis Gibson,Preston,19,19,1,0,NA
Lewis Gibson,Plymouth Argyle,18,18,1,1,NA
Alexander Gilbert,Middlesbrough,7,0,1,0,NA
Alfie Gilchrist,Sheffield Utd,30,27,0,2,NA
Ryan Giles,Middlesbrough,12,3,0,0,NA
Ryan Giles,Hull City,16,11,0,0,NA
Josh Ginnelly,Swansea City,3,0,0,0,NA
Tom Glover,Middlesbrough,7,6,0,0,NA
Wilfried Gnonto,Leeds United,43,26,9,6,351
Lynden Gooch,Stoke City,20,12,0,1,NA
Tyler Goodhram,Oxford United,41,33,3,6,NA
Will Goodwin,Oxford United,3,0,0,0,NA
Kaide Gordon,Norwich City,10,1,1,0,NA
Kaide Gordon,Portsmouth,5,0,0,0,NA
Kenzo Goudmijn,Derby County,41,29,2,2,NA
Dimitris Goutas,Cardiff City,34,33,1,1,NA
Karlan Grant,West Brom,43,34,7,2,NA
Andre Gray,Plymouth Argyle,13,5,3,1,NA
Harry Gray,Leeds United,1,0,0,0,741
Sam Greenwood,Preston,38,29,5,3,355
Joshua Griffiths,West Brom,6,6,0,0,NA
Matt Grimes,Coventry City,16,15,2,1,NA
Matt Grimes,Swansea City,29,29,2,1,NA
Daniel Grimshaw,Plymouth Argyle,21,21,0,0,NA
Ilia Gruev,Leeds United,23,20,0,2,356
Makhtar Gueye,Blackburn,44,23,6,6,NA
Josuha Guilavogui,Leeds United,16,0,0,0,NA
Angus Gunn,Norwich City,35,35,0,0,675
Darko Gyabi,Plymouth Argyle,43,34,1,2,361
