name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Djed Spence,504,6,2024-09-29T15:30:00Z,0,0,45,Spurs,573
Hamza Choudhury,287,6,2024-09-28T14:00:00Z,0,0,0,Leicester,NA
Wesley Fofana,189,6,2024-09-28T14:00:00Z,0,0,90,Chelsea,230
Lucas Digne,36,6,2024-09-29T13:00:00Z,0,0,83,Aston Villa,37
Joe Aribo,452,6,2024-09-30T19:00:00Z,0,0,45,Southampton,NA
Fábio Ferreira Vieira,1,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,23
Guglielmo Vicario,508,6,2024-09-29T15:30:00Z,0,0,90,Spurs,565
Tony Yogane,661,6,2024-09-28T14:00:00Z,0,0,0,Brentford,NA
Nathan Fraser,546,6,2024-09-28T16:30:00Z,0,0,0,Wolves,658
Christian Walton,283,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Matthijs de Ligt,593,6,2024-09-29T15:30:00Z,0,0,90,Man Utd,436
Jack Hinshelwood,126,6,2024-09-28T14:00:00Z,0,0,90,Brighton,163
Antoine Semenyo,78,6,2024-09-30T19:00:00Z,1,0,88,Bournemouth,82
Will Dennis,599,6,2024-09-30T19:00:00Z,0,0,0,Bournemouth,68
Omari Giraud-Hutchinson,274,6,2024-09-29T13:00:00Z,0,1,90,Ipswich,NA
Dane Scarlett,500,6,2024-09-29T15:30:00Z,0,0,0,Spurs,599
Joe Lumley,466,6,2024-09-30T19:00:00Z,0,0,0,Southampton,NA
Dwight McNeil,230,6,2024-09-28T14:00:00Z,2,0,82,Everton,300
Kim Ji-soo,96,6,2024-09-28T14:00:00Z,0,0,0,Brentford,117
Franco Umeh-Chibueze,644,6,2024-09-28T14:00:00Z,0,0,0,Crystal Palace,282
Andy Irving,576,6,2024-09-28T14:00:00Z,0,0,1,West Ham,621
Karl Hein,5,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,3
Nathaniel Clyne,196,6,2024-09-28T14:00:00Z,0,0,0,Crystal Palace,263
Saša Lukić,249,6,2024-09-28T14:00:00Z,0,0,82,Fulham,332
Kevin De Bruyne,345,6,2024-09-28T11:30:00Z,0,0,0,Man City,NA
Norberto Murara Neto,73,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,66
Tyrell Malacia,379,6,2024-09-29T15:30:00Z,0,0,0,Man Utd,448
Lucas Tolentino Coelho de Lima,527,6,2024-09-28T14:00:00Z,0,0,75,West Ham,612
Lewis Dunk,120,6,2024-09-28T14:00:00Z,0,0,90,Brighton,146
Mason Holgate,225,6,2024-09-28T14:00:00Z,0,0,0,Everton,NA
Kurt Zouma,532,6,2024-09-28T14:00:00Z,0,0,0,West Ham,NA
Sékou Mara,468,6,2024-09-30T19:00:00Z,0,0,0,Southampton,NA
Antony Matheus dos Santos,365,6,2024-09-29T15:30:00Z,0,0,0,Man Utd,454
Dara O'Shea,630,6,2024-09-29T13:00:00Z,0,0,90,Ipswich,NA
Kalvin Phillips,359,6,2024-09-29T13:00:00Z,0,0,68,Ipswich,429
Ibrahima Konaté,326,6,2024-09-28T16:30:00Z,1,0,90,Liverpool,374
Chadi Riad Dnanou,195,6,2024-09-28T14:00:00Z,0,0,0,Crystal Palace,262
Freddie Ladapo,276,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Levi Colwill,162,6,2024-09-28T14:00:00Z,0,0,90,Chelsea,227
Nick Pope,413,6,2024-09-28T11:30:00Z,0,0,90,Newcastle,469
Jorge Luiz Frello Filho,7,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,NA
Oliwier Zych,641,6,2024-09-29T13:00:00Z,0,0,0,Aston Villa,NA
Luke Woolfenden,284,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Łukasz Fabiański,521,6,2024-09-28T14:00:00Z,0,0,0,West Ham,NA
Idrissa Gueye,222,6,2024-09-28T14:00:00Z,0,0,7,Everton,302
Joe Gomez,322,6,2024-09-28T16:30:00Z,0,0,1,Liverpool,376
Dominic Calvert-Lewin,220,6,2024-09-28T14:00:00Z,0,0,90,Everton,691
Yerson Mosquera,558,6,2024-09-28T16:30:00Z,0,0,0,Wolves,634
Sil Swinkels,640,6,2024-09-29T13:00:00Z,0,0,0,Aston Villa,NA
Konstantinos Tsimikas,337,6,2024-09-28T16:30:00Z,0,0,0,Liverpool,377
Christian Nørgaard,101,6,2024-09-28T14:00:00Z,0,0,0,Brentford,24
Emiliano Martínez Romero,47,6,2024-09-29T13:00:00Z,0,0,90,Aston Villa,32
Declan Rice,16,6,2024-09-28T14:00:00Z,0,0,90,Arsenal,21
Dejan Kulusevski,492,6,2024-09-29T15:30:00Z,1,0,90,Spurs,583
Pascal Groß,125,6,2024-09-28T14:00:00Z,0,0,0,Brighton,NA
Gabriel dos Santos Magalhães,3,6,2024-09-28T14:00:00Z,0,0,90,Arsenal,5
Cody Gakpo,321,6,2024-09-28T16:30:00Z,0,0,17,Liverpool,384
Salah-Eddine Oulad M'hand,638,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,NA
Mohammed Kudus,525,6,2024-09-28T14:00:00Z,0,0,45,West Ham,582
Benicio Baker-Boaitey,114,6,2024-09-28T14:00:00Z,0,0,0,Brighton,NA
Vitaly Janelt,94,6,2024-09-28T14:00:00Z,0,0,90,Brentford,125
Adama Traoré,239,6,2024-09-28T14:00:00Z,0,0,68,Fulham,326
Jens Cajuste,619,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
