name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Alex Scott,77,1,2024-08-17T14:00:00Z,0,0,62,Bournemouth,90
Carlos Miguel dos Santos Pereira,427,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,503
Tomiyasu Takehiro,22,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,NA
Malcolm Ebiowei,197,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,277
Ben Brereton Díaz,584,1,2024-08-17T14:00:00Z,0,0,70,Southampton,NA
Pau Torres,52,1,2024-08-17T16:30:00Z,0,0,90,Aston Villa,41
Joel Ward,215,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,NA
Will Lankshear,609,1,2024-08-19T19:00:00Z,0,0,0,Spurs,598
Hwang Hee-chan,550,1,2024-08-17T14:00:00Z,0,0,90,Wolves,642
Mikey Moore,610,1,2024-08-19T19:00:00Z,0,0,0,Spurs,592
Hákon Valdimarsson,109,1,2024-08-18T13:00:00Z,0,0,0,Brentford,105
Alex Paulsen,75,1,2024-08-17T14:00:00Z,0,0,0,Bournemouth,70
João Victor Gomes da Silva,553,1,2024-08-17T14:00:00Z,0,0,83,Wolves,646
Cole Palmer,182,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,235
Mitoma Kaoru,136,1,2024-08-17T14:00:00Z,1,0,88,Brighton,157
Boubakary Soumaré,285,1,2024-08-19T19:00:00Z,0,0,11,Leicester,NA
Chris Wood,447,1,2024-08-17T14:00:00Z,1,0,71,Nott'm Forest,525
Joe Worrall,448,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,199
Jeffrey Schlupp,214,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,NA
Milos Kerkez,70,1,2024-08-17T14:00:00Z,0,0,90,Bournemouth,371
Adrian Mazilu,133,1,2024-08-17T14:00:00Z,0,0,0,Brighton,176
Jason Steele,142,1,2024-08-17T14:00:00Z,0,0,90,Brighton,138
Arijanet Muric,568,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Carl Rushworth,615,1,2024-08-17T14:00:00Z,0,0,0,Brighton,141
Ibrahim Sangaré,442,1,2024-08-17T14:00:00Z,0,0,90,Nott'm Forest,521
Hannibal Mejbri,373,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,207
Brandon Austin,479,1,2024-08-19T19:00:00Z,0,0,0,Spurs,566
Conor Coady,288,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Wes Foderingham,522,1,2024-08-17T16:30:00Z,0,0,0,West Ham,601
Armando Broja,156,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,680
Adam Webster,147,1,2024-08-17T14:00:00Z,0,0,14,Brighton,153
Thomas Partey,20,1,2024-08-17T14:00:00Z,0,0,90,Arsenal,NA
Harry Wilson,259,1,2024-08-16T19:00:00Z,0,0,12,Fulham,329
Kasey McAteer,299,1,2024-08-19T19:00:00Z,0,0,4,Leicester,NA
Curtis Jones,324,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,388
Wes Burns,264,1,2024-08-17T11:30:00Z,0,0,56,Ipswich,NA
Yunus Emre Konak,97,1,2024-08-18T13:00:00Z,0,0,0,Brentford,131
Max Kilman,524,1,2024-08-17T16:30:00Z,0,0,90,West Ham,605
Deniz Undav,143,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Alex Murphy,390,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,481
George Edmundson,269,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Sávio 'Savinho' Moreira de Oliveira,571,1,2024-08-18T15:30:00Z,0,0,45,Man City,415
Emerson Palmieri dos Santos,520,1,2024-08-17T16:30:00Z,0,0,90,West Ham,604
Abdoulaye Doucouré,217,1,2024-08-17T14:00:00Z,0,0,62,Everton,NA
José Malheiro de Sá,554,1,2024-08-17T14:00:00Z,0,0,90,Wolves,628
Alexander Isak,401,1,2024-08-17T14:00:00Z,0,1,90,Newcastle,499
Yves Bissouma,482,1,2024-08-19T19:00:00Z,0,0,0,Spurs,587
Conor Gallagher,169,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Philip Billing,76,1,2024-08-17T14:00:00Z,0,0,6,Bournemouth,89
Gonçalo Manuel Ganchinho Guedes,548,1,2024-08-17T14:00:00Z,0,0,0,Wolves,647
Brajan Gruda,595,1,2024-08-17T14:00:00Z,0,0,0,Brighton,162
Rodrigo 'Rodri' Hernandez,360,1,2024-08-18T15:30:00Z,0,0,0,Man City,421
Đorđe Petrović,183,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,67
Craig Dawson,542,1,2024-08-17T14:00:00Z,0,0,6,Wolves,NA
Jordan Ayew,192,1,2024-08-18T13:00:00Z,0,0,20,Crystal Palace,NA
Marcos Senesi,79,1,2024-08-17T14:00:00Z,0,0,0,Bournemouth,72
Kiernan Dewsbury-Hall,166,1,2024-08-18T15:30:00Z,0,0,24,Chelsea,242
Kaine Kesler-Hayden,43,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,NA
João Cavaco Cancelo,353,1,2024-08-18T15:30:00Z,0,0,0,Man City,NA
Maxwel Cornet,515,1,2024-08-17T16:30:00Z,0,0,0,West Ham,617
Jefferson Lerma Solís,206,1,2024-08-18T13:00:00Z,0,0,16,Crystal Palace,272
Jannik Vestergaard,307,1,2024-08-19T19:00:00Z,0,0,90,Leicester,NA
Luke Thomas,305,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Bruno Borges Fernandes,366,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,449
Adam Smith,81,1,2024-08-17T14:00:00Z,0,0,62,Bournemouth,73
Miodrag Pivaš,574,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,483
Billy Gilmour,124,1,2024-08-17T14:00:00Z,0,0,8,Brighton,NA
Rasmus Højlund,375,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,465
Callum Wilson,421,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,671
Crysencio Summerville,587,1,2024-08-17T16:30:00Z,0,0,17,West Ham,615
Jesurun Rak-Sakyi,213,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,278
Oliver Skipp,501,1,2024-08-19T19:00:00Z,0,0,0,Spurs,NA
Tomáš Souček,530,1,2024-08-17T16:30:00Z,0,1,90,West Ham,613
Taylor Harwood-Bellis,461,1,2024-08-17T14:00:00Z,0,0,90,Southampton,NA
Alphonse Areola,513,1,2024-08-17T16:30:00Z,0,0,90,West Ham,600
Lisandro Martínez,380,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,437
Richarlison de Andrade,497,1,2024-08-19T19:00:00Z,0,0,1,Spurs,597
Joško Gvardiol,350,1,2024-08-18T15:30:00Z,0,0,90,Man City,403
Harry Clarke,266,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Joachim Andersen,191,1,2024-08-18T13:00:00Z,0,0,90,Crystal Palace,317
Moisés Caicedo Corozo,157,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,241
Carlos Henrique Casimiro,368,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,457
Jhon Durán,38,1,2024-08-17T16:30:00Z,1,0,28,Aston Villa,NA
Jacob Murphy,402,1,2024-08-17T14:00:00Z,0,0,29,Newcastle,489
Sean Longstaff,410,1,2024-08-17T14:00:00Z,0,0,90,Newcastle,493
Leander Dendoncker,33,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,61
Trevoh Chalobah,159,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,226
Ryan Manning,467,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Vitalii Mykolenko,231,1,2024-08-17T14:00:00Z,0,0,90,Everton,292
Ryan Christie,63,1,2024-08-17T14:00:00Z,0,0,27,Bournemouth,87
Fábio Silva,545,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Kepa Arrizabalaga,152,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,2
Frank Onyeka,102,1,2024-08-18T13:00:00Z,0,0,6,Brentford,128
Youssef Ramalho Chermiti,237,1,2024-08-17T14:00:00Z,0,0,0,Everton,312
Morgan Gibbs-White,433,1,2024-08-17T14:00:00Z,0,0,90,Nott'm Forest,515
Noni Madueke,177,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,18
Nélson Cabral Semedo,559,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Tommy Doyle,544,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Tom Heaton,374,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,434
Lucas Bergvall,481,1,2024-08-19T19:00:00Z,0,0,12,Spurs,586
Lesley Ugochukwu,188,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,676
Evan Ferguson,123,1,2024-08-17T14:00:00Z,0,0,0,Brighton,179
Christian Eriksen,370,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,NA
Danny Ings,523,1,2024-08-17T16:30:00Z,0,0,5,West Ham,NA
Jean-Ricner Bellegarde,535,1,2024-08-17T14:00:00Z,0,0,56,Wolves,644
Tim Ream,253,1,2024-08-16T19:00:00Z,0,0,0,Fulham,NA
Benoît Badiashile,153,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,229
Radu Drăgușin,486,1,2024-08-19T19:00:00Z,0,0,0,Spurs,572
Jack Stephens,472,1,2024-08-17T14:00:00Z,0,0,90,Southampton,NA
Mateo Kovačić,354,1,2024-08-18T15:30:00Z,1,0,90,Man City,422
Nicolás Domínguez,431,1,2024-08-17T14:00:00Z,0,0,36,Nott'm Forest,519
Ben Doak,318,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,NA
Phil Foden,348,1,2024-08-18T15:30:00Z,0,0,45,Man City,414
Mason Mount,382,1,2024-08-16T19:00:00Z,0,0,60,Man Utd,455
Gabriel Martinelli Silva,9,1,2024-08-17T14:00:00Z,0,0,90,Arsenal,19
Yasin Ayari,600,1,2024-08-17T14:00:00Z,0,0,1,Brighton,166
Facundo Buonanotte,117,1,2024-08-19T19:00:00Z,0,0,78,Leicester,168
Caoimhin Kelleher,325,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,101
Odeluga Offiah,139,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Lino da Cruz Sousa,56,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,45
Amario Cozier-Duberry,118,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Emerson Leite de Souza Junior,487,1,2024-08-19T19:00:00Z,0,0,0,Spurs,NA
Kai Havertz,4,1,2024-08-17T14:00:00Z,1,1,90,Arsenal,30
Scott Carson,344,1,2024-08-18T15:30:00Z,0,0,0,Man City,NA
Ethan Brierley,87,1,2024-08-18T13:00:00Z,0,0,0,Brentford,NA
Andrey Nascimento dos Santos,150,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,246
Rico Henry,92,1,2024-08-18T13:00:00Z,0,0,0,Brentford,109
Mateusz Lis,465,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Yoane Wissa,110,1,2024-08-18T13:00:00Z,1,1,83,Brentford,135
Daniel Iversen,294,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Mads Hermansen,293,1,2024-08-19T19:00:00Z,0,0,90,Leicester,679
Rob Holding,202,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,264
Ismaïla Sarr,585,1,2024-08-18T13:00:00Z,0,0,6,Crystal Palace,267
Jarrod Bowen,514,1,2024-08-17T16:30:00Z,0,0,72,West Ham,624
Mark O’Mahony,138,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Ryan Sessegnon,579,1,2024-08-16T19:00:00Z,0,0,0,Fulham,328
Josh Dasilva,90,1,2024-08-18T13:00:00Z,0,0,0,Brentford,NA
Jadon Sancho,386,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,456
Sam Johnstone,204,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,627
Jonny Evans,371,1,2024-08-16T19:00:00Z,0,0,9,Man Utd,NA
Mohamed Salah,328,1,2024-08-17T11:30:00Z,1,1,90,Liverpool,381
Timothy Castagne,244,1,2024-08-16T19:00:00Z,0,0,0,Fulham,319
Tariq Lamptey,131,1,2024-08-17T14:00:00Z,0,0,0,Brighton,150
Ola Aina,422,1,2024-08-17T14:00:00Z,0,0,53,Nott'm Forest,507
Taiwo Awoniyi,424,1,2024-08-17T14:00:00Z,0,0,18,Nott'm Forest,527
Leandro Trossard,23,1,2024-08-17T14:00:00Z,0,0,10,Arsenal,20
Jacob Greaves,270,1,2024-08-17T11:30:00Z,0,0,90,Ipswich,NA
Alfie Whiteman,510,1,2024-08-19T19:00:00Z,0,0,0,Spurs,NA
Séamus Coleman,221,1,2024-08-17T14:00:00Z,0,0,0,Everton,294
Fabian Schär,415,1,2024-08-17T14:00:00Z,0,0,27,Newcastle,474
Nicolas Jackson,180,1,2024-08-18T15:30:00Z,0,0,65,Chelsea,251
Joe White,419,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,498
Jamie Vardy,306,1,2024-08-19T19:00:00Z,1,0,78,Leicester,NA
Miguel Almirón Rejala,391,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,NA
James Garner,223,1,2024-08-17T14:00:00Z,0,0,0,Everton,303
Marcus Tavernier,83,1,2024-08-17T14:00:00Z,0,0,90,Bournemouth,84
Lewis Dobbin,37,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,57
Viljami Sinisalo,55,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,NA
Omari Kellyman,173,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Daniel Castelo Podence,562,1,2024-08-17T14:00:00Z,0,0,15,Wolves,NA
Martial Godo,605,1,2024-08-16T19:00:00Z,0,0,0,Fulham,333
Harrison Reed,254,1,2024-08-16T19:00:00Z,0,0,1,Fulham,336
Guido Rodríguez,588,1,2024-08-17T16:30:00Z,0,0,84,West Ham,618
Will Alves,606,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Carlos Baleba,115,1,2024-08-17T14:00:00Z,0,0,0,Brighton,167
James Hill,68,1,2024-08-17T14:00:00Z,0,0,0,Bournemouth,77
David Datro Fofana,164,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Ryan Fraser,397,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,NA
Ângelo Gabriel Borges Damaceno,151,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Nathan Patterson,234,1,2024-08-17T14:00:00Z,0,0,0,Everton,296
Robin Olsen,51,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,NA
Mathias Jensen,95,1,2024-08-18T13:00:00Z,0,0,83,Brentford,126
Bart Verbruggen,146,1,2024-08-17T14:00:00Z,0,0,0,Brighton,139
Dango Ouattara,74,1,2024-08-17T14:00:00Z,0,0,68,Bournemouth,83
Emmanuel Dennis,430,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,NA
Yehor Yarmoliuk,111,1,2024-08-18T13:00:00Z,0,0,0,Brentford,129
Julián Álvarez,352,1,2024-08-18T15:30:00Z,0,0,0,Man City,NA
Tyler Dibling,608,1,2024-08-17T14:00:00Z,0,0,20,Southampton,707
Paul Onuachu,470,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Bobby Clark,315,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,NA
Kieran Tierney,21,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,NA
Darwin Núñez Ribeiro,316,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,397
Josh Bowler,426,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,NA
Sugawara Yukinari,474,1,2024-08-17T14:00:00Z,0,0,45,Southampton,NA
Aaron Wan-Bissaka,388,1,2024-08-17T16:30:00Z,0,0,0,West Ham,610
Bobby De Cordova-Reid,290,1,2024-08-19T19:00:00Z,0,0,85,Leicester,NA
Nathan Broadhead,262,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Matheus Luiz Nunes,356,1,2024-08-18T15:30:00Z,0,0,0,Man City,407
Jake O'Brien,582,1,2024-08-17T14:00:00Z,0,0,0,Everton,293
Cameron Peupion,140,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Kosta Nedeljković,50,1,2024-08-17T16:30:00Z,0,0,8,Aston Villa,NA
Jay Stansfield,256,1,2024-08-16T19:00:00Z,0,0,1,Fulham,NA
Nikola Milenković,573,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,505
Sepp van den Berg,338,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,113
Kevin Mbabu,250,1,2024-08-16T19:00:00Z,0,0,0,Fulham,NA
Malang Sarr,176,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Jarrad Branthwaite,219,1,2024-08-17T14:00:00Z,0,0,0,Everton,290
Mats Wieffer,149,1,2024-08-17T14:00:00Z,0,1,90,Brighton,173
Kyle Walker,363,1,2024-08-18T15:30:00Z,0,0,0,Man City,187
Shea Charles,458,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Samuel Edozie,459,1,2024-08-17T14:00:00Z,0,0,45,Southampton,NA
Robert Sánchez,185,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,220
Sergio Reguilón,496,1,2024-08-19T19:00:00Z,0,0,0,Spurs,NA
Conor Townsend,583,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Ricardo Barbosa Pereira,302,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Massimo Luongo,277,1,2024-08-17T11:30:00Z,0,0,64,Ipswich,NA
Harvey Elliott,319,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,389
Garang Kuol,406,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,496
Rúben Gato Alves Dias,361,1,2024-08-18T15:30:00Z,0,0,90,Man City,408
Romelu Lukaku Bolingoli,175,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Ben Chilwell,160,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
George Hirst,272,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Daniel Jebbison,69,1,2024-08-17T14:00:00Z,0,0,21,Bournemouth,NA
Tyrick Mitchell,210,1,2024-08-18T13:00:00Z,0,0,90,Crystal Palace,258
Myles Peart-Harris,103,1,2024-08-18T13:00:00Z,0,0,0,Brentford,133
Mahmoud Dahoud,119,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Jonathan Panzo,441,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,NA
Nico O'Reilly,607,1,2024-08-18T15:30:00Z,0,0,0,Man City,411
Aaron Ramsdale,14,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,674
Moussa Diaby,34,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,NA
Micky van de Ven,506,1,2024-08-19T19:00:00Z,0,0,90,Spurs,575
Igor Thiago Nascimento Rodrigues,107,1,2024-08-18T13:00:00Z,0,0,0,Brentford,136
Callum Hudson-Odoi,434,1,2024-08-17T14:00:00Z,0,0,71,Nott'm Forest,516
Armel Bella-Kotchap,456,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Rodrigo Martins Gomes,563,1,2024-08-17T14:00:00Z,0,0,74,Wolves,635
Lamare Bogarde,598,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,44
Noussair Mazraoui,594,1,2024-08-16T19:00:00Z,0,0,80,Man Utd,438
Cameron Archer,27,1,2024-08-17T14:00:00Z,0,0,19,Southampton,NA
Ezri Konsa Ngoyo,44,1,2024-08-17T16:30:00Z,0,0,90,Aston Villa,38
Pedro Porro,495,1,2024-08-19T19:00:00Z,1,0,90,Spurs,568
Alfie Devine,485,1,2024-08-19T19:00:00Z,0,0,0,Spurs,NA
Elkan Baggott,261,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Erling Haaland,351,1,2024-08-18T15:30:00Z,1,0,90,Man City,430
Leif Davis,267,1,2024-08-17T11:30:00Z,0,0,90,Ipswich,NA
Virgil van Dijk,339,1,2024-08-17T11:30:00Z,0,0,90,Liverpool,373
Konstantinos Mavropanos,528,1,2024-08-17T16:30:00Z,0,0,90,West Ham,606
Matt Turner,445,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,504
Juan Larios López,464,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Harry Toffolo,444,1,2024-08-17T14:00:00Z,0,0,36,Nott'm Forest,NA
Toby Collyer,613,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,460
Caleb Wiley,575,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Ethan Pinnock,104,1,2024-08-18T13:00:00Z,0,0,90,Brentford,111
William Saliba,18,1,2024-08-17T14:00:00Z,0,0,90,Arsenal,6
Altay Bayindir,367,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,431
Rodrigo Bentancur,480,1,2024-08-19T19:00:00Z,0,0,77,Spurs,585
Dominic Solanke-Mitchell,82,1,2024-08-19T19:00:00Z,0,0,90,Spurs,596
Chris Richards,194,1,2024-08-18T13:00:00Z,0,0,83,Crystal Palace,261
Rayan Aït-Nouri,533,1,2024-08-17T14:00:00Z,0,0,83,Wolves,402
James Justin,295,1,2024-08-19T19:00:00Z,0,0,90,Leicester,706
Joshua Zirkzee,389,1,2024-08-16T19:00:00Z,1,0,29,Man Utd,466
Martin Ødegaard,13,1,2024-08-17T14:00:00Z,0,0,90,Arsenal,17
Cesare Casadei,158,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Jaden Philogene,569,1,2024-08-17T16:30:00Z,0,0,16,Aston Villa,NA
Mario Lemina,557,1,2024-08-17T14:00:00Z,0,0,90,Wolves,NA
Adam Wharton,216,1,2024-08-18T13:00:00Z,0,0,73,Crystal Palace,273
Luis Sinisterra,80,1,2024-08-17T14:00:00Z,0,0,63,Bournemouth,91
Michael Keane,228,1,2024-08-17T14:00:00Z,0,0,90,Everton,295
Omar Richards,438,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,512
Álex Moreno Lopera,26,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,43
Stephy Mavididi,298,1,2024-08-19T19:00:00Z,0,0,11,Leicester,NA
Anthony Gordon,398,1,2024-08-17T14:00:00Z,0,0,69,Newcastle,485
Diego Carlos Santos Silva,35,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,NA
Facundo Pellistri Rebollo,384,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,NA
Trent Alexander-Arnold,311,1,2024-08-17T11:30:00Z,0,0,76,Liverpool,NA
Josh King,604,1,2024-08-16T19:00:00Z,0,0,0,Fulham,335
Wanya Marçal-Madivádua,297,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Jamal Lewis,408,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,NA
Jørgen Strand Larsen,566,1,2024-08-17T14:00:00Z,0,0,83,Wolves,654
Jack Harrison,224,1,2024-08-17T14:00:00Z,0,0,84,Everton,352
Riccardo Calafiori,578,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,7
Luke Cundle,540,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Jan Bednarek,455,1,2024-08-17T14:00:00Z,0,0,80,Southampton,NA
André Onana,383,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,432
Odsonne Edouard,198,1,2024-08-18T13:00:00Z,0,0,45,Crystal Palace,285
Deivid Washington de Souza Eugênio,165,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Lewis O'Brien,439,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,520
Bukayo Saka,17,1,2024-08-17T14:00:00Z,1,1,79,Arsenal,16
Alex Mighten,435,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,NA
Djed Spence,504,1,2024-08-19T19:00:00Z,0,0,1,Spurs,573
Hamza Choudhury,287,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Wesley Fofana,189,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,230
Lucas Digne,36,1,2024-08-17T16:30:00Z,0,0,73,Aston Villa,37
Joe Aribo,452,1,2024-08-17T14:00:00Z,0,0,69,Southampton,NA
Fábio Ferreira Vieira,1,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,23
Guglielmo Vicario,508,1,2024-08-19T19:00:00Z,0,0,90,Spurs,565
Nathan Fraser,546,1,2024-08-17T14:00:00Z,0,0,0,Wolves,658
Christian Walton,283,1,2024-08-17T11:30:00Z,0,0,90,Ipswich,NA
Matthijs de Ligt,593,1,2024-08-16T19:00:00Z,0,0,9,Man Utd,436
Jack Hinshelwood,126,1,2024-08-17T14:00:00Z,0,0,90,Brighton,163
Antoine Semenyo,78,1,2024-08-17T14:00:00Z,1,0,90,Bournemouth,82
Will Dennis,599,1,2024-08-17T14:00:00Z,0,0,0,Bournemouth,68
Omari Giraud-Hutchinson,274,1,2024-08-17T11:30:00Z,0,0,90,Ipswich,NA
Dane Scarlett,500,1,2024-08-19T19:00:00Z,0,0,0,Spurs,599
Joe Lumley,466,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Dwight McNeil,230,1,2024-08-17T14:00:00Z,0,0,90,Everton,300
Kim Ji-soo,96,1,2024-08-18T13:00:00Z,0,0,0,Brentford,117
Andy Irving,576,1,2024-08-17T16:30:00Z,0,0,0,West Ham,621
Karl Hein,5,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,3
Nathaniel Clyne,196,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,263
Saša Lukić,249,1,2024-08-16T19:00:00Z,0,0,90,Fulham,332
Kevin De Bruyne,345,1,2024-08-18T15:30:00Z,0,0,90,Man City,NA
Norberto Murara Neto,73,1,2024-08-17T14:00:00Z,0,0,90,Bournemouth,66
Tyrell Malacia,379,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,448
Lucas Tolentino Coelho de Lima,527,1,2024-08-17T16:30:00Z,1,0,73,West Ham,612
Lewis Dunk,120,1,2024-08-17T14:00:00Z,0,0,75,Brighton,146
Mason Holgate,225,1,2024-08-17T14:00:00Z,0,0,5,Everton,NA
Kurt Zouma,532,1,2024-08-17T16:30:00Z,0,0,0,West Ham,NA
Sékou Mara,468,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Antony Matheus dos Santos,365,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,454
Kalvin Phillips,359,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,429
Ibrahima Konaté,326,1,2024-08-17T11:30:00Z,0,0,45,Liverpool,374
Chadi Riad Dnanou,195,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,262
Freddie Ladapo,276,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Levi Colwill,162,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,227
Nick Pope,413,1,2024-08-17T14:00:00Z,0,0,90,Newcastle,469
Jorge Luiz Frello Filho,7,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,NA
Luke Woolfenden,284,1,2024-08-17T11:30:00Z,0,0,90,Ipswich,NA
Łukasz Fabiański,521,1,2024-08-17T16:30:00Z,0,0,0,West Ham,NA
Idrissa Gueye,222,1,2024-08-17T14:00:00Z,0,0,90,Everton,302
Joe Gomez,322,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,376
Dominic Calvert-Lewin,220,1,2024-08-17T14:00:00Z,0,0,75,Everton,691
Yerson Mosquera,558,1,2024-08-17T14:00:00Z,0,0,90,Wolves,634
Konstantinos Tsimikas,337,1,2024-08-17T11:30:00Z,0,0,11,Liverpool,377
